token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
linen damask	linen damask	3	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
direct to plate photogravure and aquatint etching	direct to plate photogravure and aquatint etching	3	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
stone?	stone?	3	""	Decorative & other materials	Other material	Other material	""	keyword
black and brown ink on paper (letterhead)	black and brown ink on paper (letterhead)	3	""	Drawing	Ink	Other ink	""	keyword
Gauze with sequins	gauze with sequins	3	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
iron with gold and silver inlay	iron with gold and silver inlay	3	""	Decorative & other materials	Precious metal (gold, silver)	Other precious metal	""	keyword
collage on paper	collage on paper	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
photograph printed on Zone VI Brilliant paper mounted to book page	photograph printed on zone vi brilliant paper mounted to book page	3	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Transparent and opaque watercolor over graphite on wove paper	transparent and opaque watercolor over graphite on wove paper	3	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
portfolio of reproductions	portfolio of reproductions	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
lithographic crayon	lithographic crayon	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
color sugar-lift aquatint on Rives BFK paper	color sugar-lift aquatint on rives bfk paper	3	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
weft-faced S-direction compound twill (2:1)	weft-faced s-direction compound twill (2:1)	3	""	Textile	Other textile	Other textile	""	keyword
wax print	wax print	3	""	Print	Other print process	Other print process	""	keyword
cowry shells	cowry shells	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
tone - line process	tone - line process	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
painted metal	painted metal	3	""	Painting	Other paint	Other paint	""	keyword
paint on cotton?	paint on cotton?	3	""	Painting	Other paint	Other paint	""	keyword
and gold paint	and gold paint	3	""	Painting	Other paint	Other paint	""	keyword
Soft ground etching and photogravure	soft ground etching and photogravure	3	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
Etching and drypoint on chine colle	etching and drypoint on chine colle	3	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
satin stripe silk organza and taffeta	satin stripe silk organza and taffeta	3	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Photogravure on Somerset Satin White paper	photogravure on somerset satin white paper	3	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
leaves	leaves	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
cotton fiber	cotton fiber	3	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
beads and leather	beads and leather	3	""	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	""	keyword
painted and gilded clay	painted and gilded clay	3	""	Painting	Other paint	Other paint	""	keyword
lithograph printed on yellow chine collé	lithograph printed on yellow chine collé	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color spit bite and sugar lift aquatints with aquatint and soft ground etching	color spit bite and sugar lift aquatints with aquatint and soft ground etching	3	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
newsprint and crayon on paper	newsprint and crayon on paper	3	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
deer	deer	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pen and ink and watercolor on paper	pen and ink and watercolor on paper	3	""	Drawing	Ink	Ink (unspecified)	""	keyword
wood and skin	wood and skin	3	""	Decorative & other materials	Wood	Wood	""	keyword
