token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
pencil and gouache on paper	pencil and gouache on paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
15 in text	15 in text	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Portfolio of 5+1 offset lithographs and texts	portfolio of 5+1 offset lithographs and texts	1	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
Satin-faced wool	satin-faced wool	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
Point d'Argentan or Point de France lace	point d'argentan or point de france lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Blond Chantilly lace	blond chantilly lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
4 photolithographic reproductions in color of tarot cards on ivory wove paper mounted on pale orange-yellow wove paper	4 photolithographic reproductions in color of tarot cards on ivory wove paper mounted on pale orange-yellow wove paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
graphite and colored pencils on white wove paper	graphite and colored pencils on white wove paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
woven embroidery	woven embroidery	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
slip case in covered in grey laid paper with illustrations front and back by Ernst	slip case in covered in grey laid paper with illustrations front and back by ernst	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
steel and gilt iron	steel and gilt iron	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Other base metal	""	keyword
Opaque watercolor on vellum with gilding	opaque watercolor on vellum with gilding	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
black cashmere jacket	black cashmere jacket	1	""	Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	""	keyword
(1) pencil on paper (2) photocopy	(1) pencil on paper (2) photocopy	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
slipcase in book cloth with paste paper sides	slipcase in book cloth with paste paper sides	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
screenprint on buff paper	screenprint on buff paper	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Arte	arte	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Sixth plate daguerreotype with hand-coloring in leather covered case	sixth plate daguerreotype with hand-coloring in leather covered case	1	""	Photograph	Daguerreotype	Daguerreotype	""	keyword
5 pills	5 pills	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
ivory and mother-of-pearl sticks and guards	ivory and mother-of-pearl sticks and guards	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Ivory / tusk	""	keyword
cloth covered chemise with the publisher's signature printed on the spine	cloth covered chemise with the publisher's signature printed on the spine	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Engraving with drypoint and burin on celluloid (full page) with printed text disk onto which drypoint (circular sheet) has been affixed	engraving with drypoint and burin on celluloid (full page) with printed text disk onto which drypoint (circular sheet) has been affixed	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
book with 75 mixed media stains on Eagle Coupon Board	book with 75 mixed media stains on eagle coupon board	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Hardstones (lapis lazuli	hardstones (lapis lazuli	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
book with reproductions of 5 drawings and 2 paintings	book with reproductions of 5 drawings and 2 paintings	1	""	Drawing	Other drawing media	Other drawing media	""	keyword
tortoise or celluloid with metalshell	tortoise or celluloid with metalshell	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Watercolor with brown ink	watercolor with brown ink	1	""	Drawing	Ink	Other ink	""	keyword
applied silk braid	applied silk braid	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Etching-Roul	etching-roul	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
knotted and pleated	knotted and pleated	1	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
Ivory with Egyptian blue inlay	ivory with egyptian blue inlay	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Ivory / tusk	""	keyword
left panel of a triptych	left panel of a triptych	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
graphite on thick cream wove paper	graphite on thick cream wove paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
silk twill with silk embroidery (satin and button hole stitches)	silk twill with silk embroidery (satin and button hole stitches)	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
cotton? pique with eyelet embroidery	cotton? pique with eyelet embroidery	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
with the addition of graphite powder. Box: color offset lithograph	with the addition of graphite powder. box: color offset lithograph	1	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
coarse weave grey cloth chemise with black-printed title to spine and matching slipcase	coarse weave grey cloth chemise with black-printed title to spine and matching slipcase	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
record album cover	record album cover	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Japanese lacquer panels and gilt-bronze mounts	japanese lacquer panels and gilt-bronze mounts	1	""	Sculpture	Bronze	Bronze	""	keyword
black and white gesso	black and white gesso	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk faille with silk crochet	silk faille with silk crochet	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Book with 150 lithographs on Arches wove paper	book with 150 lithographs on arches wove paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
red grosgrain ribbon pin	red grosgrain ribbon pin	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
Spit bite aquatint printed in white	spit bite aquatint printed in white	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
portfolio of 4 color screenprints with embossing on silver and gold foil	portfolio of 4 color screenprints with embossing on silver and gold foil	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
palm tree seed	palm tree seed	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Black and white chalks with brown ink on laid paper (recto)	black and white chalks with brown ink on laid paper (recto)	1	""	Drawing	Ink	Other ink	""	keyword
color embossed lithograph with screenprint	color embossed lithograph with screenprint	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
color woodcut with burnishing and gold	color woodcut with burnishing and gold	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
"trimmed with metallic braid and silk flowers in Grecian style.  Worn by Mitzi Gaynor in 'My Blue Heaven."""	"trimmed with metallic braid and silk flowers in grecian style.  worn by mitzi gaynor in 'my blue heaven."""	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
brown pony fur	brown pony fur	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
trois crayons on thick flecked cream antique laid paper	trois crayons on thick flecked cream antique laid paper	1	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
Glazed earthenware with incised and relief design	glazed earthenware with incised and relief design	1	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
(l) and (m) brass	(l) and (m) brass	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Brass	""	keyword
Charcoal and pastel with white chalk on gray paper	charcoal and pastel with white chalk on gray paper	1	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
Chinese silk lining	chinese silk lining	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
metal rivet	metal rivet	1	""	Decorative & other materials	Other material	Other material	""	keyword
loose in wrappers of light blue paper with title and decoration embossed and gold gilt on cover	loose in wrappers of light blue paper with title and decoration embossed and gold gilt on cover	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
silvered copper alloy	silvered copper alloy	1	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
Spit bite aquatint and aquatint with blue felt-tipped pen and graphite additions	spit bite aquatint and aquatint with blue felt-tipped pen and graphite additions	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
black and gray ink on paper	black and gray ink on paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Artist book with one aquatint and one etching	artist book with one aquatint and one etching	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
chiffon and wood	chiffon and wood	1	""	Decorative & other materials	Wood	Wood	""	keyword
Engraving on folded  double page	engraving on folded  double page	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
heavy weight British mouldmade sheet.	heavy weight british mouldmade sheet.	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
verso: brown ink and graphite	verso: brown ink and graphite	1	""	Drawing	Ink	Other ink	""	keyword
slipcase is covered with spatter design and gold touches with morocco leather trim	slipcase is covered with spatter design and gold touches with morocco leather trim	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
portfolio of 7 color lithographs printed in two colors	portfolio of 7 color lithographs printed in two colors	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
silver or nickel ? medal	silver or nickel ? medal	1	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
Burgundy satin	burgundy satin	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
etching on Montval paper	etching on montval paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
10 die-cut cards	10 die-cut cards	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Book with 18 engravings (17 illustrating text	book with 18 engravings (17 illustrating text	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
metallic glitter and glue on paper	metallic glitter and glue on paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
opaque and transparent watercolor on wove paper	opaque and transparent watercolor on wove paper	1	""	Painting	Watercolor	Watercolor	""	keyword
Color soft ground aquatint and aquatint	color soft ground aquatint and aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
portfolio with reproductions of etchings and introductory essay	portfolio with reproductions of etchings and introductory essay	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
linoleum cut on red paper	linoleum cut on red paper	1	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
velvet (cut and voided)	velvet (cut and voided)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
specially commissioned essay in a separate bound volume with two photographs	specially commissioned essay in a separate bound volume with two photographs	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Color offset lithograph poster with gold foil stamping	color offset lithograph poster with gold foil stamping	1	""	Print	Lithographs (planographic)	Mixed / other planographic	""	keyword
Etching with tonal effects and drypoint on iron plate	etching with tonal effects and drypoint on iron plate	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
chirimen silk	chirimen silk	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
multicolor beads	multicolor beads	1	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
book with 13 color aquatints with hand coloring	book with 13 color aquatints with hand coloring	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
portfolio of 3 color aquatints and etching	portfolio of 3 color aquatints and etching	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
with inscription 'B. Lut[i]' (lower right)	with inscription 'b. lut[i]' (lower right)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
matching cloth slipcase	matching cloth slipcase	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
and karakul embroidery (satin	and karakul embroidery (satin	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Jet & crystal beads	jet & crystal beads	1	""	Ceramic & glass	Glass	Lead / crystal glass	""	keyword
soft ground lift drawing with orange pencil	soft ground lift drawing with orange pencil	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
stippled roller printed with block overprinting and penciled yellow	stippled roller printed with block overprinting and penciled yellow	1	""	Print	Etching & engraving (intaglio)	Stipple	""	keyword
stencil-resist printed	stencil-resist printed	1	""	Print	Screenprints & stencils	Stencil	""	keyword
Artist book with screen prints	artist book with screen prints	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Paint and crayon on wallboard	paint and crayon on wallboard	1	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
Etching printed in dark red ink on Rives paper	etching printed in dark red ink on rives paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
commercial round reed	commercial round reed	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
stone and marble	stone and marble	1	""	Sculpture	Marble	Marble	""	keyword
earthenware (pearlware)	earthenware (pearlware)	1	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
Phalangeridae	phalangeridae	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
engraved map	engraved map	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk crepe with silk fringe	silk crepe with silk fringe	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Engraving with burin on celluloid printed on Auvergne à la main paper	engraving with burin on celluloid printed on auvergne à la main paper	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
various synthetic complex weaves (machine embroidery)	various synthetic complex weaves (machine embroidery)	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
Binche lace (bobbin guipure)	binche lace (bobbin guipure)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
graphite and color crayon	graphite and color crayon	1	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
3 drypoints on Arches laid paper	3 drypoints on arches laid paper	1	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
state i	state i	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and ivory or bone	and ivory or bone	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Other animal material	""	keyword
portfolio of seven color engravings	portfolio of seven color engravings	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Shoebox with leather shoe wrapped in tissue paper with a cash roll (paper pages rolled in a dollar bill and tied with a shoelace)	shoebox with leather shoe wrapped in tissue paper with a cash roll (paper pages rolled in a dollar bill and tied with a shoelace)	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	""	keyword
book with 12 color aquatints with hand coloring including title page	book with 12 color aquatints with hand coloring including title page	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Book with  12 full-page engravings	book with  12 full-page engravings	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Casein on hardboard	casein on hardboard	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Color aquatint and spit bite aquatint on Somerset Textured Soft White Paper	color aquatint and spit bite aquatint on somerset textured soft white paper	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
silk or synthetic and metallic yarns	silk or synthetic and metallic yarns	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
porcelain with overglaze enamel and gilding	porcelain with overglaze enamel and gilding	1	""	Ceramic & glass	Porcelain	Porcelain (unspecified)	""	keyword
synthetic material and embroidery	synthetic material and embroidery	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
Soft-ground etching and burnished aquatint	soft-ground etching and burnished aquatint	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
die cut and letterpress on paper pulp	die cut and letterpress on paper pulp	1	""	Print	Relief prints (woodcut, linocut)	Letterpress & line block	""	keyword
with artist's inscription and date 'a John Afro Roma 56' (lower right)	with artist's inscription and date 'a john afro roma 56' (lower right)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
color screenprint with pearl dust on Fabriano Classico watercolor paper	color screenprint with pearl dust on fabriano classico watercolor paper	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Manipulated copy toner resist with flat-bite aquatint	manipulated copy toner resist with flat-bite aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
raised fishbone	raised fishbone	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Painted papier-mâché with colored and gilded lithograph on paper	painted papier-mâché with colored and gilded lithograph on paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
1 on acetate	1 on acetate	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
loose in linen and imitation cloth portfolio with tie strings	loose in linen and imitation cloth portfolio with tie strings	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
cloth back	cloth back	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
vinyl decal	vinyl decal	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
unable to measure due to very small fragile fragments	unable to measure due to very small fragile fragments	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk with polychrome silk and metal thread embroidery	silk with polychrome silk and metal thread embroidery	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
direct to plate photgravure and aquatint	direct to plate photgravure and aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
SUITE of 8 lithographs	suite of 8 lithographs	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Color woodcut on silk	color woodcut on silk	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
bound  book with  21 woodcuts (2 in color)  in clamshell box  (see Remarks for details)	bound  book with  21 woodcuts (2 in color)  in clamshell box  (see remarks for details)	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
and collage on Bingo card	and collage on bingo card	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
satin (synthetic?)	satin (synthetic?)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
book with  the same poem repeated on 355 pages	book with  the same poem repeated on 355 pages	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Painted paper	painted paper	1	""	Painting	Other paint	Other paint	""	keyword
r: Pen and brown ink over black chalk on laid paperv: Black v: chalk	r: pen and brown ink over black chalk on laid paperv: black v: chalk	1	""	Drawing	Ink	Other ink	""	keyword
black silk Cluny lace	black silk cluny lace	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
peau de soie and black lace	peau de soie and black lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Red and white cotton	red and white cotton	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
cross-stitch embroidery	cross-stitch embroidery	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
flat bite toner transfer with aquatint printed in blue	flat bite toner transfer with aquatint printed in blue	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
shell and wire	shell and wire	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	""	keyword
Book with 32 illustrations total: 1 etching	book with 32 illustrations total: 1 etching	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
machine made net with Point de Gaze edging	machine made net with point de gaze edging	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
appliedaccessory objects	appliedaccessory objects	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
ink and red rubber stamp ink	ink and red rubber stamp ink	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Color aquatint-etching	color aquatint-etching	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
etching (drypoint?) with hand coloring	etching (drypoint?) with hand coloring	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color print of a photograph	color print of a photograph	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
cowerie shells and cloth buttons sewn to a warp-faced plan weave substructure	cowerie shells and cloth buttons sewn to a warp-faced plan weave substructure	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
stone with traces of blue and red paint	stone with traces of blue and red paint	1	""	Painting	Other paint	Other paint	""	keyword
tied with string into two groups	tied with string into two groups	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
wax and oil stick on paper	wax and oil stick on paper	1	""	Painting	Oil	Oil (other support)	""	keyword
book with 116 plates of engravings	book with 116 plates of engravings	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
embroidery (couching	embroidery (couching	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
book with 38 color wood engravings including the frontispiece	book with 38 color wood engravings including the frontispiece	1	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
(Verso) Black chalk with traces of white chalk	(verso) black chalk with traces of white chalk	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
Book with 51 duotone offset lithographic reproductions with varnish of photographs plus 2 additional images repeated as front and back end papers in book and on front and back of the slipcase`	book with 51 duotone offset lithographic reproductions with varnish of photographs plus 2 additional images repeated as front and back end papers in book and on front and back of the slipcase`	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
v: Charcoal	v: charcoal	1	""	Drawing	Pencil, chalk & crayon	Charcoal	""	keyword
last outer cover is parchment wrapper with design	last outer cover is parchment wrapper with design	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Electrophotographic print (Xerox) handbill printed on green paper	electrophotographic print (xerox) handbill printed on green paper	1	""	Photograph	Chromogenic / C print	Chromogenic / C print	""	keyword
Pen and brown ink and blue watercolor over black chalk on laid paper mounted to a heavier sheet	pen and brown ink and blue watercolor over black chalk on laid paper mounted to a heavier sheet	1	""	Drawing	Ink	Other ink	""	keyword
striped jersey	striped jersey	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
color woodcut with gray mica background added later	color woodcut with gray mica background added later	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
wood and traces ofpaint	wood and traces ofpaint	1	""	Decorative & other materials	Wood	Wood	""	keyword
galoon and fringe	galoon and fringe	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Acrylic and graphite on canvas	acrylic and graphite on canvas	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
and Arches	and arches	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
fiber string	fiber string	1	""	Textile	Other textile	Other textile	""	keyword
Woodcut printed in yellow and etching with roulette printed in brown	woodcut printed in yellow and etching with roulette printed in brown	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
ovula ( scientific)	ovula ( scientific)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
book with uncounted reproductions	book with uncounted reproductions	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
quarter bound in caramel colored leather and multi colored marbled paper	quarter bound in caramel colored leather and multi colored marbled paper	1	""	Sculpture	Marble	Marble	""	keyword
thread embroidery (laid and couched stitches)	thread embroidery (laid and couched stitches)	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
Handmade paper with pieces of embedded and sewn thread	handmade paper with pieces of embedded and sewn thread	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
printed in shades of brown	printed in shades of brown	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
balsa wood and opaque watercolor on board	balsa wood and opaque watercolor on board	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
protective boards covered in sage green paper	protective boards covered in sage green paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
bound by sewing and glueing	bound by sewing and glueing	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
(Verso) Soft ground lift-lines and asphaltum and masking tape	(verso) soft ground lift-lines and asphaltum and masking tape	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
beach bur (ata ata0	beach bur (ata ata0	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
49 smaller wood engravings	49 smaller wood engravings	1	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
iron alloy metal	iron alloy metal	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Iron	""	keyword
Color soft ground etching with aquatint and flat bite	color soft ground etching with aquatint and flat bite	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Mixed media collage: screenprint	mixed media collage: screenprint	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Williem de Kooning	williem de kooning	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk gros de Tours and rhinestone	silk gros de tours and rhinestone	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
plain weaving (backing)	plain weaving (backing)	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
color  soft ground etching with spit bite aquatint	color  soft ground etching with spit bite aquatint	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Graphite and black ink (fiber-tipped pen) on tracing paper	graphite and black ink (fiber-tipped pen) on tracing paper	1	""	Drawing	Ink	Other ink	""	keyword
16-parts	16-parts	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
whitework embroidered lawn	whitework embroidered lawn	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
grey ink and watercolor wash with graphite	grey ink and watercolor wash with graphite	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
plaited sago leaf anklet and armlet	plaited sago leaf anklet and armlet	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
electrotypes	electrotypes	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Black chalk with stumping heightened with white chalk	black chalk with stumping heightened with white chalk	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
sun	sun	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Lithograph in 3 colors	lithograph in 3 colors	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Yellow a & b) slub silk and leather c)brown silk jersey	yellow a & b) slub silk and leather c)brown silk jersey	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
applied ribbon and lace	applied ribbon and lace	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Walnut with marble inlay	walnut with marble inlay	1	""	Sculpture	Marble	Marble	""	keyword
Goat skin with silk embroidery (chain stitch) and glass beads	goat skin with silk embroidery (chain stitch) and glass beads	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Green silk brocade	green silk brocade	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Brush and sumi ink	brush and sumi ink	1	""	Drawing	Ink	Other ink	""	keyword
book with 6 engravings	book with 6 engravings	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
rayon and abaca	rayon and abaca	1	""	Textile	Synthetic fiber (nylon, polyester)	Synthetic fiber (nylon, polyester)	""	keyword
black chalk under sanguine on cream antique laid paper	black chalk under sanguine on cream antique laid paper	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
chain and open-chain stitches)	chain and open-chain stitches)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Black wool crepe with monkey fur and satin	black wool crepe with monkey fur and satin	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
damask brocade	damask brocade	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Duchesse lace and gauze	duchesse lace and gauze	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
English delft	english delft	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Engraving ( Watermark: Anchor in a circle)	engraving ( watermark: anchor in a circle)	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
white shantung	white shantung	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
red printed	red printed	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
collaged black paper and white chalk	collaged black paper and white chalk	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
framed engraving mounted to board	framed engraving mounted to board	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Color etching and aquatint on Rives BFK paper	color etching and aquatint on rives bfk paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
paint and wood	paint and wood	1	""	Painting	Other paint	Other paint	""	keyword
