label	cn	tgn_depth	state	display_label	tier	country	region_auto	region_curator_fix	override_label	confidence	objects
Southern United States	AUZ.AAAAB.AAABZ.AAAKC.AAFXL	4	Southern United States	Southern United States	state	United States	North America			auto	84
Ifugao Province	AUZ.AAAAB.AAAAJ.AAADZ.AAAIU.AAAAA	5		Ifugao Province, Philippines	notable	Philippines	Southeast Asia			auto	83
Costa Rica	AUZ.AAAAB.AAABZ.AAACC	3		Costa Rica	country	Costa Rica	Central America			auto	81
Mali	AUZ.AAAAB.AAAAB.AAAOI	3		Mali	country	Mali	Africa			auto	77
Honolulu	AUZ.AAAAB.AAACB.AAAAR.AAAAB.AAAAC	5		Honolulu, Hawaiian Islands	notable	Hawaiian Islands	Oceania			auto	76
Bern	AUZ.AAAAB.AAABH.AAAHG.AABED	4		Bern	country	Switzerland	Europe			auto	74
New England	AUZ.AAAAB.AAABZ.AAAKC.AAEFM	4	New England	New England	state	United States	North America			auto	74
Philadelphia	AUZ.AAAAB.AAABZ.AAAKC.AAERY.AAARK	5	Pennsylvania	Philadelphia, Pennsylvania	notable	United States	North America			auto	73
St. Lawrence Island	AUZ.AAAAB.AAABZ.AAAKC.AAHGI.AAAAV.AABBI	6	Alaska	St. Lawrence Island, Alaska	notable	United States	North America			auto	73
Tibet	AUZ.AAAAB.AAAAJ.AAANR.AAAAC.AAASC	5		Tibet	notable		East Asia			auto	72
Africa	AUZ.AAAAB.AAAAB	2		Africa	region(tgn)		Africa			auto	71
Sandwich	AUZ.AAAAB.AAABZ.AAAKC.AADRY.AAAAM.AAAQY	6	Massachusetts	Sandwich, Massachusetts	notable	United States	North America			auto	71
Cyprus	AUZ.AAAAB.AAAAJ.AAANA	3		Cyprus	country	Cyprus	Middle East			auto	69
Samoa	AUZ.AAAAB.AAACB.AAABQ	3		Samoa	country	Samoa	Oceania			auto	68
Connecticut	AUZ.AAAAB.AAABZ.AAAKC.AABCK	4	Connecticut	Connecticut	state	United States	North America			auto	68
Eastern Mediterranean	AUZ.AAAAB.AAABC	2		Eastern Mediterranean	region(tgn)	Eastern Mediterranean	Middle East			auto	66
Cameroon	AUZ.AAAAB.AAAAB.AAAHZ	3		Cameroon	country	Cameroon	Africa			auto	66
Ireland	AUZ.AAAAB.AAABH.AAAOB.AAAAA	4		Ireland	country		Europe			review: country from TGN branch node	65
Papua Province	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAACI	5		Papua Province, Southeast Asia	notable	Southeast Asia	Southeast Asia			auto	65
Arizona	AUZ.AAAAB.AAABZ.AAAKC.AAHJO	4	Arizona	Arizona	state	United States	North America			auto	64
Berlin	AUZ.AAAAB.AAABH.AAAQL.AAAAO.AAAAA	5		Berlin, Germany	notable	Germany	Europe			auto	64
Florence	AUZ.AAAAB.AAABH.AAAVP.AAAGE.AAAAG	5		Florence, Italy	notable	Italy	Europe			auto	63
Pittsburgh	AUZ.AAAAB.AAABZ.AAAKC.AAERY.AAAAC.AAACY	6	Pennsylvania	Pittsburgh, Pennsylvania	notable	United States	North America			auto	62
South America	AUZ.AAAAB.AAACT	2		South America	region(tgn)	South America	South America			auto	62
Ivory Coast	AUZ.AAAAB.AAAAB.AAAIV	3		Ivory Coast	country	Ivory Coast	Africa			auto	61
Kitava Island	AUZ.AAAAB.AAABU.AAAAB.AAAAB.AAAAU.AAABU.AAAAC	7		Kitava Island	notable					review: no region rule	60
San Francisco Bay	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AABIJ	5	California	San Francisco Bay, California	notable	United States	North America			auto	60
Gabon	AUZ.AAAAB.AAAAB.AAAKI	3		Gabon	country	Gabon	Africa			auto	59
Republic of Kiribati	AUZ.AAAAB.AAACB.AAAAV	3		Republic of Kiribati	country	Republic of Kiribati	Oceania			auto	59
New Hampshire	AUZ.AAAAB.AAABZ.AAAKC.AAEFO	4	New Hampshire	New Hampshire	state	United States	North America			auto	58
Chile	AUZ.AAAAB.AAACT.AAABI	3		Chile	country	Chile	South America			auto	57
Agadez	AUZ.AAAAB.AAAAB.AAABC.AAAAA	4		Agadez	country	Niger	Africa			auto	55
Athens	AUZ.AAAAB.AAABH.AAARU.AAAAI.AACEI	5		Athens, Greece	notable	Greece	Europe			auto	53
Lausanne	AUZ.AAAAB.AAABH.AAAHG.AAAZB.AAAIZ	5		Lausanne, Switzerland	notable	Switzerland	Europe			auto	52
Santa Monica	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAATP.AABIQ	6	California	Santa Monica, California	notable	United States	North America			auto	50
Colombia	AUZ.AAAAB.AAACT.AAABM	3		Colombia	country	Colombia	South America			auto	50
Assyria	AUZ.AAAAB.AAAAJ.AAAKQ	3		Assyria	country	Assyria	Middle East			auto	50
Munich	AUZ.AAAAB.AAABH.AAAQL.AAAAL.ABHPE	5		Munich, Germany	notable	Germany	Europe			auto	50
Dresden	AUZ.AAAAB.AAABH.AAAQL.AAAEU.AABKM	5		Dresden, Germany	notable	Germany	Europe			auto	50
Silesia	AUZ.AAAAB.AAABH.AAAHE	3		Silesia	country	Silesia	Europe			auto	48
New Guinea	AUZ.AAAAB.AAAAJ.AAACP	3		New Guinea	country	New Guinea	Southeast Asia			auto	48
Burkina Faso	AUZ.AAAAB.AAAAB.AAAHV	3		Burkina Faso	country	Burkina Faso	Africa			auto	48
Saint Petersburg	AUZ.AAAAB.AAABH.AAAGX.AAAAD.AAASI.AAACJ.AAAAA	7		Saint Petersburg	notable		Europe			auto	48
Bali	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAAAC	5		Bali, Southeast Asia	notable	Southeast Asia	Southeast Asia			auto	47
Sèvres	AUZ.AAAAB.AAABH.AAASY.AAAME.AABXL	5		Sèvres, France	notable	France	Europe			auto	46
Pennsylvania	AUZ.AAAAB.AAABZ.AAAKC.AAERY	4	Pennsylvania	Pennsylvania	state	United States	North America			auto	46
Java	AUZ.AAAAB.AAAAJ.AAAGH.AAAAJ.AAAAY	5		Java, Southeast Asia	notable	Southeast Asia	Southeast Asia			auto	46
Strasbourg	AUZ.AAAAB.AAABH.AAASY.AAAKH.AAJHP	5		Strasbourg, France	notable	France	Europe			auto	45
Petén	AUZ.AAAAB.AAABZ.AAAFF.AAAAF.AAAAU	5		Petén	notable		North America	North America;Central America		auto	44
Tiverton	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAABS.AAARN	8		Tiverton	notable		Europe			review: country from TGN branch node	44
Chelsea	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAACN.AAAAQ.AAAAL.AAAAC	10		Chelsea	notable		Europe			review: country from TGN branch node	44
Basel	AUZ.AAAAB.AAABH.AAAHG.AABDX.AAAAA	5		Basel, Switzerland	notable	Switzerland	Europe			auto	43
Massachusetts	AUZ.AAAAB.AAABZ.AAAKC.AADRY	4	Massachusetts	Massachusetts	state	United States	North America			auto	43
Wales	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAADQ	5		Wales, United Kingdom	notable	United Kingdom	Europe			auto	42
Flanders	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAB.AAAEN	6		Flanders	notable		Europe			auto	42
Fars	AUZ.AAAAB.AAAAJ.AAAGG.AAAAN.AAAAX	5		Fars	notable		East Asia			auto	42
Bolivia	AUZ.AAAAB.AAACT.AAAAZ	3		Bolivia	country	Bolivia	South America			auto	42
Mughal Empire	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAHK	5		Mughal Empire	notable		South Asia			auto	41
Naples	AUZ.AAAAB.AAABH.AAAVP.AAABT.AAAAO	5		Naples, Italy	notable	Italy	Europe			auto	41
Devon	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAABS	7		Devon	notable		Europe			review: country from TGN branch node	40
Yucatan	AUZ.AAAAB.AAABZ.AAAFF.AAAAH.AAAEC	5		Yucatan	notable		North America	North America;Central America		auto	39
Zurich	AUZ.AAAAB.AAABH.AAAHG.AABBM	4		Zurich	country	Switzerland	Europe			auto	39
Pacific Northwest	AUZ.AAAAB.AAABZ.AAAKC.AAHQX	4	Pacific Northwest	Pacific Northwest	state	United States	North America			auto	38
Kashmīr	AUZ.AAAAB.AAAAJ.AAAGG.AAAAK.AAAFC	5		Kashmīr	notable		East Asia			auto	38
Hungary	AUZ.AAAAB.AAABH.AAABB	3		Hungary	country	Hungary	Europe			auto	38
Andes Mountains	AUZ.AAAAB.AAACT.AAAAO	3		Andes Mountains	country	Andes Mountains	South America			auto	38
Oceania	AUZ.AAAAB.AAACB	2		Oceania	region(tgn)	Oceania	Oceania			auto	38
Liberia	AUZ.AAAAB.AAAAB.AAANC	3		Liberia	country	Liberia	Africa			auto	37
