section	subcategory	specific	tokens	objects
Drawing	Pencil, chalk & crayon	Charcoal	80	267
Painting	Oil	Oil (other support)	90	262
Print	Screenprints & stencils	Pochoir	36	259
Painting	Oil	Oil on panel	22	253
Print	Screenprints & stencils	Stencil	98	234
Drawing	Other drawing media	Other drawing media	116	215
Decorative & other materials	Animal material (ivory, bone, leather)	Bone / antler / horn	65	205
Photograph	Negative / transparency	Negative / transparency	27	196
Textile	Woven & worked cloth	Velvet	1	186
Ceramic & glass	Glass	Blown glass	28	180
Other / unclassified	Other / unclassified	Illustration	1	172
Sculpture	Other sculpture material	Other sculpture material	60	165
Textile	Woven & worked cloth	Satin	1	165
Sculpture	Marble	Marble	65	165
Sculpture	Wood	Wood	24	164
Ceramic & glass	Glass	Lead / crystal glass	27	155
Decorative & other materials	Base metal (bronze, iron, copper)	Steel	56	139
Photograph	Albumen print	Albumen print	15	135
Textile	Synthetic fiber (nylon, polyester)	Synthetic fiber (nylon, polyester)	113	135
Decorative & other materials	Plastic & synthetic	Plastic	1	133
Painting	Tempera	Tempera	30	128
Decorative & other materials	Plastic & synthetic	Plastic & synthetic	77	122
Photograph	Digital / inkjet print	Digital (unspecified)	38	117
Photograph	Other photographic	Other photographic	3	115
Ceramic & glass	Earthenware & stoneware	Stoneware	31	115
Photograph	Photogravure / photomechanical	Woodburytype	1	114
Drawing	Other drawing media	Drawing	1	112
Textile	Synthetic fiber (nylon, polyester)	Rayon	1	112
Textile	Textile technique (weaving, embroidery)	Resist dyeing (batik, ikat)	15	110
Photograph	Digital / inkjet print	Inkjet / pigment print	31	108
Print	Lithographs (planographic)	Collotype	14	105
Decorative & other materials	Wood	Bamboo	1	102
Painting	Other paint	Paint	1	97
Photograph	Photogravure / photomechanical	Photogravure	1	94
Textile	Textile technique (weaving, embroidery)	Other textile technique	58	93
Textile	Synthetic fiber (nylon, polyester)	Nylon	1	92
Decorative & other materials	Lacquer & enamel	Lacquer & enamel	57	88
Decorative & other materials	Other material	Hardwood	1	88
Textile	Synthetic fiber (nylon, polyester)	Polyester	1	84
Sculpture	Cast / modelled	Cast / modelled	25	83
Ceramic & glass	Other ceramic	Clay	1	80
Drawing	Ink	Brown ink	23	80
Textile	Woven & worked cloth	Brocade	1	76
Textile	Other textile	Paper	1	75
Other / unclassified	Other / unclassified	Collage	1	73
Print	Lithographs (planographic)	Chromolithograph	3	73
Photograph	Platinum / palladium print	Platinum / palladium print	9	71
Textile	Other textile	Raffia	1	71
Textile	Thread & trimmings	Sequins	1	67
Decorative & other materials	Base metal (bronze, iron, copper)	Pewter / tin	10	65
Decorative & other materials	Other material	Suede	1	64
Textile	Other textile	Net	1	61
Photograph	Daguerreotype	Daguerreotype	25	60
Textile	Woven & worked cloth	Felt	1	58
Textile	Other textile	Chiffon	1	57
Drawing	Ink	Colored ink	8	53
Decorative & other materials	Beads, feathers & plant material	Straw	1	53
Other / unclassified	Other / unclassified	Jadeite	1	52
Other / unclassified	Other / unclassified	Quartzite	1	49
Textile	Thread & trimmings	Metal thread	1	48
Photograph	Other photographic	Relief halftone	1	47
Decorative & other materials	Beads, feathers & plant material	Rattan	1	47
Ceramic & glass	Glass	Other glass	33	47
Ceramic & glass	Porcelain	Other porcelain	26	47
Decorative & other materials	Other material	Wire	1	44
Print	Relief prints (woodcut, linocut)	Mixed / other relief	30	44
Decorative & other materials	Wood	Mahogany	1	42
Textile	Thread & trimmings	Ribbon	1	42
Print	Etching & engraving (intaglio)	Stipple	11	39
Other / unclassified	Other / unclassified	Resin	1	38
Textile	Other textile	Wove paper	1	38
Textile	Other textile	String	1	37
Textile	Textile technique (weaving, embroidery)	Knitting / crochet	4	35
Other / unclassified	Other / unclassified	Pigments	1	35
Other / unclassified	Other / unclassified	Fur	1	34
Decorative & other materials	Lacquer & enamel	Enamel	1	34
Textile	Other textile	Taffeta	1	33
Textile	Woven & worked cloth	Cloth	1	32
Ceramic & glass	Other ceramic & glass	Obsidian	1	31
Decorative & other materials	Wood	Oak	1	31
Other / unclassified	Other / unclassified	Mixed media	1	30
Drawing	Pencil, chalk & crayon	Conté / sanguine	16	27
Photograph	Ambrotype / tintype	Ambrotype / tintype	16	27
Decorative & other materials	Base metal (bronze, iron, copper)	Other base metal	16	27
Textile	Woven & worked cloth	Tulle	1	27
Textile	Thread & trimmings	Thread	1	27
Ceramic & glass	Glass	Stained glass	2	26
Other / unclassified	Other / unclassified	Hide	1	26
Decorative & other materials	Wood	Walnut	1	25
Photograph	Carbon print	Carbon print	10	25
Other / unclassified	Other / unclassified	Goat hair	1	25
Other / unclassified	Other / unclassified	Alabaster	1	24
Other / unclassified	Other / unclassified	Horsehair	1	24
Decorative & other materials	Wood	Ebony	1	24
Other / unclassified	Other / unclassified	Flint	1	23
Other / unclassified	Other / unclassified	Baleen	1	21
Print	Etching & engraving (intaglio)	Intaglio	1	21
Decorative & other materials	Beads, feathers & plant material	Coral	1	21
Decorative & other materials	Precious metal (gold, silver)	Other precious metal	17	21
Other / unclassified	Other / unclassified	Roulette	1	20
Textile	Natural fiber (silk, wool, cotton)	Cashmere	1	20
Other / unclassified	Other / unclassified	Hair	1	20
Textile	Woven & worked cloth	Cut velvet	1	20
Textile	Other textile	Handmade paper	1	19
Photograph	Cyanotype	Cyanotype	7	19
Other / unclassified	Other / unclassified	Cork	1	18
Other / unclassified	Other / unclassified	Scraping	1	18
Painting	Other paint	Metallic paint	1	18
Other / unclassified	Other / unclassified	Birch bark	1	17
Other / unclassified	Other / unclassified	Twining	1	17
Textile	Other textile	Twine	1	17
Textile	Woven & worked cloth	Damask	1	17
Textile	Thread & trimmings	Yarn	1	17
Other / unclassified	Other / unclassified	Spandex	1	17
Other / unclassified	Other / unclassified	Limestone	1	16
Textile	Natural fiber (silk, wool, cotton)	Mohair	1	16
Other / unclassified	Other / unclassified	Gut	1	15
Decorative & other materials	Other material	Lead	1	15
Textile	Other textile	Fringe	1	15
Other / unclassified	Other / unclassified	Cliché-verre	1	15
Painting	Gouache / opaque watercolor	Gouache	1	14
Ceramic & glass	Other ceramic & glass	Kaolin	1	14
Other / unclassified	Other / unclassified	Bark	1	14
Textile	Woven & worked cloth	Velveteen	1	14
Other / unclassified	Other / unclassified	Couching	1	14
Textile	Other textile	Cardboard	1	14
Drawing	Metalpoint	Metalpoint	8	13
Decorative & other materials	Beads, feathers & plant material	Amber	1	13
Sculpture	Plaster	Lime plaster	1	13
Textile	Other textile	Lampas	1	13
Textile	Other textile	Chenille	1	13
Other / unclassified	Other / unclassified	Jet	1	13
Textile	Other textile	Batiste	1	13
Ceramic & glass	Glass	Pressed / molded glass	6	12
Other / unclassified	Other / unclassified	Human hair	1	12
Decorative & other materials	Other material	Jade	1	12
Other / unclassified	Other / unclassified	Palm leaf	1	12
Other / unclassified	Other / unclassified	Reed	1	12
